"","label"
"1","unclassified"
"2","donations"
"3","unclassified"
"4","donations"
"5","donations"
"6","donations"
"7","unclassified"
"8","donations"
"9","donations"
"10","donations"
"11","donations"
"12","donations"
"13","unclassified"
"14","donations"
"15","unclassified"
"16","unclassified"
"17","donations"
"18","unclassified"
"19","donations"
"20","donations"
"21","donations"
"22","donations"
"23","donations"
"24","donations"
"25","donations"
"26","unclassified"
"27","donations"
"28","donations"
"29","unclassified"
"30","donations"
"31","unclassified"
"32","donations"
"33","unclassified"
"34","donations"
"35","donations"
"36","donations"
"37","donations"
"38","donations"
"39","donations"
"40","donations"
"41","unclassified"
"42","donations"
"43","unclassified"
"44","donations"
"45","unclassified"
"46","unclassified"
"47","donations"
"48","exchange"
"49","unclassified"
"50","unclassified"
"51","donations"
"52","unclassified"
"53","unclassified"
"54","donations"
"55","donations"
"56","donations"
"57","donations"
"58","donations"
"59","donations"
"60","donations"
"61","donations"
"62","donations"
"63","donations"
"64","donations"
"65","donations"
"66","exchange"
"67","donations"
"68","donations"
"69","donations"
"70","unclassified"
"71","unclassified"
"72","mixer"
"73","mixer"
"74","donations"
"75","mixer"
"76","mixer"
"77","unclassified"
"78","donations"
"79","donations"
"80","mixer"
"81","donations"
"82","donations"
"83","donations"
"84","donations"
"85","donations"
"86","donations"
"87","donations"
"88","donations"
"89","donations"
"90","donations"
"91","donations"
"92","donations"
"93","donations"
"94","donations"
"95","donations"
"96","donations"
"97","donations"
"98","donations"
"99","unclassified"
"100","unclassified"
"101","donations"
"102","mixer"
"103","donations"
"104","donations"
"105","donations"
"106","donations"
"107","donations"
"108","donations"
"109","donations"
"110","donations"
"111","donations"
"112","donations"
"113","donations"
"114","donations"
"115","donations"
"116","donations"
"117","donations"
"118","mixer"
"119","donations"
"120","donations"
"121","donations"
"122","donations"
"123","donations"
"124","donations"
"125","donations"
"126","donations"
"127","donations"
"128","donations"
"129","donations"
"130","donations"
"131","donations"
"132","donations"
"133","donations"
"134","donations"
"135","donations"
"136","donations"
"137","donations"
"138","donations"
"139","donations"
"140","donations"
"141","donations"
"142","donations"
"143","donations"
"144","donations"
"145","donations"
"146","donations"
"147","donations"
"148","donations"
"149","donations"
"150","donations"
"151","donations"
"152","donations"
"153","donations"
"154","donations"
"155","donations"
"156","donations"
"157","donations"
"158","donations"
"159","donations"
"160","donations"
"161","donations"
"162","donations"
"163","donations"
"164","donations"
"165","donations"
"166","donations"
"167","donations"
"168","donations"
"169","donations"
"170","donations"
"171","donations"
"172","donations"
"173","donations"
"174","donations"
"175","donations"
"176","donations"
"177","donations"
"178","donations"
"179","donations"
"180","donations"
"181","donations"
"182","donations"
"183","donations"
"184","donations"
"185","donations"
"186","donations"
"187","donations"
"188","donations"
"189","donations"
"190","donations"
"191","donations"
"192","donations"
"193","donations"
"194","donations"
"195","donations"
"196","donations"
"197","donations"
"198","donations"
"199","donations"
"200","donations"
"201","donations"
"202","donations"
"203","donations"
"204","donations"
"205","donations"
"206","donations"
"207","donations"
"208","donations"
"209","donations"
"210","donations"
"211","donations"
"212","donations"
"213","donations"
"214","donations"
"215","donations"
"216","donations"
"217","donations"
"218","donations"
"219","donations"
"220","donations"
"221","donations"
"222","donations"
"223","donations"
"224","donations"
"225","donations"
"226","donations"
"227","donations"
"228","donations"
"229","donations"
"230","donations"
"231","donations"
"232","donations"
"233","donations"
"234","donations"
"235","donations"
"236","donations"
"237","donations"
"238","donations"
"239","donations"
"240","donations"
"241","donations"
"242","donations"
"243","donations"
"244","donations"
"245","donations"
"246","donations"
"247","donations"
"248","donations"
"249","donations"
"250","donations"
"251","donations"
"252","donations"
"253","donations"
"254","donations"
"255","donations"
"256","donations"
"257","donations"
"258","donations"
"259","donations"
"260","donations"
"261","donations"
"262","donations"
"263","donations"
"264","donations"
"265","donations"
"266","donations"
"267","donations"
"268","donations"
"269","donations"
"270","donations"
"271","donations"
"272","donations"
"273","donations"
"274","donations"
"275","donations"
"276","donations"
"277","donations"
"278","donations"
"279","donations"
"280","donations"
"281","donations"
"282","donations"
"283","donations"
"284","donations"
"285","donations"
